variable,level,overall,not_readmitted,readmitted_lt30,smd
glyburide,No,"62,211 (88.9%)","56,655 (88.9%)","5,556 (88.4%)",-0.017
glyburide,Steady,"6,745 (9.6%)","6,115 (9.6%)",630 (10.0%),0.014
glyburide,Up,613 (0.9%),554 (0.9%),59 (0.9%),0.007
glyburide,Down,418 (0.6%),378 (0.6%),40 (0.6%),0.006
pioglitazone,No,"64,722 (92.5%)","58,897 (92.5%)","5,825 (92.7%)",0.009
pioglitazone,Steady,"5,006 (7.2%)","4,576 (7.2%)",430 (6.8%),-0.013
pioglitazone,Up,178 (0.3%),157 (0.2%),21 (0.3%),0.016
pioglitazone,Down,81 (0.1%),72 (0.1%),9 (0.1%),0.008
rosiglitazone,No,"65,327 (93.3%)","59,452 (93.3%)","5,875 (93.5%)",0.006
rosiglitazone,Steady,"4,454 (6.4%)","4,061 (6.4%)",393 (6.3%),-0.005
rosiglitazone,Up,132 (0.2%),119 (0.2%),13 (0.2%),0.005
rosiglitazone,Down,74 (0.1%),70 (0.1%),4 (0.1%),-0.016
insulin,No,"34,265 (49.0%)","31,422 (49.3%)","2,843 (45.2%)",-0.082
insulin,Steady,"21,621 (30.9%)","19,618 (30.8%)","2,003 (31.9%)",0.023
insulin,Down,"7,324 (10.5%)","6,552 (10.3%)",772 (12.3%),0.063
insulin,Up,"6,777 (9.7%)","6,110 (9.6%)",667 (10.6%),0.034
glyburide-metformin,No,"69,491 (99.3%)","63,245 (99.3%)","6,246 (99.4%)",0.012
glyburide-metformin,Steady,485 (0.7%),447 (0.7%),38 (0.6%),-0.012
glyburide-metformin,Up,7 (0.0%),7 (0.0%),0 (0.0%),-0.015
glyburide-metformin,Down,4 (0.0%),3 (0.0%),1 (0.0%),0.011
change,No,"38,492 (55.0%)","35,180 (55.2%)","3,312 (52.7%)",-0.051
change,Ch,"31,495 (45.0%)","28,522 (44.8%)","2,973 (47.3%)",0.051
diabetesMed,Yes,"53,302 (76.2%)","48,279 (75.8%)","5,023 (79.9%)",0.100
diabetesMed,No,"16,685 (23.8%)","15,423 (24.2%)","1,262 (20.1%)",-0.100
diag_1_group,Circulatory,"21,389 (30.6%)","19,319 (30.3%)","2,070 (32.9%)",0.056
diag_1_group,Other,"12,134 (17.3%)","11,043 (17.3%)","1,091 (17.4%)",0.001
diag_1_group,Respiratory,"9,491 (13.6%)","8,798 (13.8%)",693 (11.0%),-0.085
diag_1_group,Digestive,"6,488 (9.3%)","5,968 (9.4%)",520 (8.3%),-0.039
diag_1_group,Diabetes,"5,748 (8.2%)","5,224 (8.2%)",524 (8.3%),0.005
diag_1_group,Injury,"4,694 (6.7%)","4,187 (6.6%)",507 (8.1%),0.057
diag_1_group,Musculoskeletal,"4,064 (5.8%)","3,723 (5.8%)",341 (5.4%),-0.018
diag_1_group,Genitourinary,"3,441 (4.9%)","3,132 (4.9%)",309 (4.9%),-0.000
diag_2_group,Circulatory,"22,083 (31.6%)","20,035 (31.5%)","2,048 (32.6%)",0.024
diag_2_group,Other,"18,373 (26.3%)","16,752 (26.3%)","1,621 (25.8%)",-0.012
diag_2_group,Diabetes,"9,700 (13.9%)","8,873 (13.9%)",827 (13.2%),-0.023
diag_2_group,Respiratory,"6,928 (9.9%)","6,348 (10.0%)",580 (9.2%),-0.025
diag_2_group,Genitourinary,"5,330 (7.6%)","4,850 (7.6%)",480 (7.6%),0.001
diag_2_group,Digestive,"2,856 (4.1%)","2,617 (4.1%)",239 (3.8%),-0.016
diag_2_group,Injury,"1,822 (2.6%)","1,641 (2.6%)",181 (2.9%),0.019
diag_2_group,Neoplasms,"1,600 (2.3%)","1,393 (2.2%)",207 (3.3%),0.068
diag_3_group,Other,"21,250 (30.4%)","19,453 (30.5%)","1,797 (28.6%)",-0.043
diag_3_group,Circulatory,"20,866 (29.8%)","18,991 (29.8%)","1,875 (29.8%)",0.000
diag_3_group,Diabetes,"12,547 (17.9%)","11,468 (18.0%)","1,079 (17.2%)",-0.022
diag_3_group,Respiratory,"4,652 (6.6%)","4,179 (6.6%)",473 (7.5%),0.038
diag_3_group,Genitourinary,"4,049 (5.8%)","3,646 (5.7%)",403 (6.4%),0.029
diag_3_group,Digestive,"2,700 (3.9%)","2,442 (3.8%)",258 (4.1%),0.014
diag_3_group,Injury,"1,409 (2.0%)","1,264 (2.0%)",145 (2.3%),0.022
diag_3_group,Musculoskeletal,"1,368 (2.0%)","1,254 (2.0%)",114 (1.8%),-0.011
comorbidity_breadth,mean (SD),2.31 (0.66),2.31 (0.66),2.32 (0.65),0.021
A1C_tested,0,"57,141 (81.6%)","51,935 (81.5%)","5,206 (82.8%)",0.034
A1C_tested,1,"12,846 (18.4%)","11,767 (18.5%)","1,079 (17.2%)",-0.034
glucose_tested,0,"66,638 (95.2%)","60,693 (95.3%)","5,945 (94.6%)",-0.031
glucose_tested,1,"3,349 (4.8%)","3,009 (4.7%)",340 (5.4%),0.031
A1C_tested_x_change,0_No,"32,727 (46.8%)","29,882 (46.9%)","2,845 (45.3%)",-0.033
A1C_tested_x_change,0_Ch,"24,414 (34.9%)","22,053 (34.6%)","2,361 (37.6%)",0.061
A1C_tested_x_change,1_Ch,"7,081 (10.1%)","6,469 (10.2%)",612 (9.7%),-0.014
A1C_tested_x_change,1_No,"5,765 (8.2%)","5,298 (8.3%)",467 (7.4%),-0.033
age_midpoint,mean (SD),65.44 (15.97),65.21 (16.04),67.84 (15.09),0.169
age_band,65-79,"33,437 (47.8%)","30,205 (47.4%)","3,232 (51.4%)",0.080
age_band,40-64,"19,179 (27.4%)","17,793 (27.9%)","1,386 (22.1%)",-0.136
age_band,>=80,"12,871 (18.4%)","11,504 (18.1%)","1,367 (21.8%)",0.093
age_band,<40,"4,500 (6.4%)","4,200 (6.6%)",300 (4.8%),-0.079
admission_type,Emergency,"35,478 (50.7%)","32,220 (50.6%)","3,258 (51.8%)",0.025
admission_type,Elective,"13,786 (19.7%)","12,644 (19.8%)","1,142 (18.2%)",-0.043
admission_type,Urgent,"12,803 (18.3%)","11,654 (18.3%)","1,149 (18.3%)",-0.000
admission_type,Unknown,"7,893 (11.3%)","7,158 (11.2%)",735 (11.7%),0.014
admission_type,Other,27 (0.0%),26 (0.0%),1 (0.0%),-0.015
admission_source,Emergency room,"37,271 (53.3%)","33,819 (53.1%)","3,452 (54.9%)",0.037
admission_source,Physician referral,"21,748 (31.1%)","19,875 (31.2%)","1,873 (29.8%)",-0.030
admission_source,Unknown,"5,086 (7.3%)","4,635 (7.3%)",451 (7.2%),-0.004
admission_source,Transfer from hospital,"2,530 (3.6%)","2,314 (3.6%)",216 (3.4%),-0.011
admission_source,Transfer from other facility,"1,785 (2.6%)","1,641 (2.6%)",144 (2.3%),-0.018
admission_source,Clinic referral,908 (1.3%),827 (1.3%),81 (1.3%),-0.001
admission_source,Other,659 (0.9%),591 (0.9%),68 (1.1%),0.015
discharge_disposition,Home,"44,320 (63.3%)","41,241 (64.7%)","3,079 (49.0%)",-0.322
discharge_disposition,SNF,"8,790 (12.6%)","7,610 (11.9%)","1,180 (18.8%)",0.190
discharge_disposition,Home health service,"8,291 (11.8%)","7,500 (11.8%)",791 (12.6%),0.025
discharge_disposition,Unknown,"3,252 (4.6%)","2,953 (4.6%)",299 (4.8%),0.006
discharge_disposition,Short-term hospital,"1,541 (2.2%)","1,329 (2.1%)",212 (3.4%),0.079
discharge_disposition,Other,"1,470 (2.1%)","1,306 (2.1%)",164 (2.6%),0.037
discharge_disposition,Rehab facility,"1,410 (2.0%)","1,038 (1.6%)",372 (5.9%),0.227
discharge_disposition,Other inpatient care,913 (1.3%),725 (1.1%),188 (3.0%),0.131
n_diabetes_meds,mean (SD),1.19 (0.94),1.19 (0.95),1.22 (0.91),0.041
n_meds_changed,mean (SD),0.26 (0.48),0.26 (0.47),0.30 (0.50),0.076
prior_utilisation_total,mean (SD),0.56 (1.43),0.53 (1.40),0.83 (1.70),0.189
